days_elapsed,time_fraction,artist,album,song,story-category,emotion
250,0.32,Kelly Clarkson,Breakaway,Since U Been Gone,relationship,negative
250,0.38,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
250,0.45,Taylor Swift,Shake It Off,Shake It Off,relationship,positive
251,23.30,Taylor Swift,1989 (Deluxe),Welcome to New York,nyc,positive
251,23.37,Taylor Swift,1989 (Deluxe),Blank Space,relationship,positive
251,23.43,Taylor Swift,1989 (Deluxe),Style,relationship,positive
251,23.50,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
251,23.57,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
251,23.62,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
251,23.73,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,12.90,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,13.20,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,13.25,Taylor Swift,1989 (Deluxe),Out of the Woods,relationship,mixed
252,13.32,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,13.38,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,19.37,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,19.43,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
252,22.12,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
252,22.70,Banks,London,This Is What It Feels Like,work,negative
253,13.52,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
253,14.22,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
253,14.32,Taylor Swift,1989 (Deluxe),All You Had to Do Was Stay,relationship,negative
253,14.37,Taylor Swift,1989 (Deluxe),Shake It Off,relationship,positive
253,14.50,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
253,14.57,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
253,15.03,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
253,20.62,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
253,23.08,The Blow,The Blow,From the Future,none,positive
253,23.37,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
253,23.42,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
253,23.48,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
253,23.57,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
255,17.22,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
255,17.33,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
255,17.52,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
255,17.57,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
255,17.65,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
255,17.70,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
255,19.00,Sleater-Kinney,Call the Doctor (Remastered),Good Things,relationship,negative
255,20.35,Sylvan Esso,Coffee,Coffee,none,positive
255,21.00,Sky Ferreira,You‰Ûªre Not The One (Remixes),You‰Ûªre Not The One - Blood Diamonds Remix,relationship,negative
255,21.18,MÌ÷,No Mythologies to Follow (Deluxe),Walk This Way,work,positive
255,21.25,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
256,14.55,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
256,14.62,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
256,16.77,BeyoncÌ©,4,Best Thing I Never Had,relationship,negative
256,21.95,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
256,0.37,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
257,13.27,Taylor Swift,1989 (Deluxe),Bad Blood,relationship,negative
257,13.68,Ariana Grande,My Everything (Deluxe),Break Your Heart Right Back,relationship,negative
